FAC_ID,NAMA,KATEGORI,SEKTOR,OPERATOR,DAERAH,LOKALITI,EASTING_GDM2000,NORTHING_GDM2000,LATITUDE,LONGITUDE,CRS_SOURCE,SUMBER,SEMAKAN
14,Hospital Al-Sultan Abdullah UiTM,Hospital,Kerajaan,UiTM,Kuala Selangor,Puncak Alam,-27958.472,3983.956,3.21005049,101.45098769,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
15,Hospital Sultan Abdul Aziz Shah UPM,Hospital,Kerajaan,UPM,Petaling,Serdang,1743.56,-21407.045,2.98038124,101.71815124,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
16,Sunway Medical Centre,Hospital,Swasta,Swasta,Petaling,Bandar Sunway,-10440.293,-11915.495,3.06624431,101.60857182,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
17,Subang Jaya Medical Centre,Hospital,Swasta,Swasta,Petaling,Subang Jaya,-12086.888,-10497.672,3.07906916,101.59376159,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
18,Thomson Hospital Kota Damansara,Hospital,Swasta,Swasta,Petaling,Kota Damansara,-13729.781,-2777.367,3.14888954,101.57899453,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
19,Ara Damansara Medical Centre,Hospital,Swasta,Swasta,Petaling,Ara Damansara,-15303.244,-6558.916,3.11469404,101.56483295,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
20,Assunta Hospital,Hospital,Swasta,Swasta,Petaling,Petaling Jaya,-6397.472,-8944.717,3.09310196,101.64494723,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
21,KMI Kelana Jaya Medical Centre,Hospital,Swasta,Swasta,Petaling,Kelana Jaya,-11905.825,-7242.76,3.10850422,101.59539612,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
22,KPJ Damansara Specialist Hospital,Hospital,Swasta,Swasta,Petaling,Damansara Utama,-8328.579,-4049.231,3.13737761,101.62758462,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
23,KPJ Damansara Specialist Hospital 2,Hospital,Swasta,Swasta,Petaling,Bukit Lanjan,-9358.959,-326.044,3.17104976,101.61832214,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
24,Columbia Asia Hospital Petaling Jaya,Hospital,Swasta,Swasta,Petaling,Petaling Jaya,-7222.247,-6153.843,3.11834256,101.63753331,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
25,Columbia Asia Hospital Puchong,Hospital,Swasta,Swasta,Petaling,Puchong,-8915.695,-16608.24,3.0238032,101.6222779,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
26,KPMC Puchong Specialist Centre,Hospital,Swasta,Swasta,Petaling,Puchong,-9641.026,-16514.103,3.0246559,101.61575329,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
27,KPJ Selangor Specialist Hospital,Hospital,Swasta,Swasta,Petaling,Shah Alam,-17957.481,-12880.364,3.05753039,101.54094637,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
28,Avisena Specialist Hospital,Hospital,Swasta,Swasta,Petaling,Shah Alam,-19862.748,-11341.559,3.07144874,101.52380857,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
29,Avisena Women's & Children's Specialist Hospital,Hospital,Swasta,Swasta,Petaling,Shah Alam,-20169.749,-11320.967,3.07163531,101.52104682,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
30,SALAM Shah Alam Specialist Hospital,Hospital,Swasta,Swasta,Petaling,Shah Alam,-18585.885,-13806.696,3.04915398,101.5352922,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
31,UMRA Hospital,Hospital,Swasta,Swasta,Petaling,Shah Alam,-18095.224,-10280.472,3.08104244,101.53971055,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
32,MSU Medical Centre,Hospital,Swasta,Swasta,Petaling,Shah Alam,-16639.089,-10753.187,3.07676555,101.55280939,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
33,Columbia Asia Hospital Bukit Rimau,Hospital,Swasta,Swasta,Klang,Bukit Rimau,-19304.332,-19568.051,2.99705252,101.52882253,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
34,Bukit Tinggi Medical Centre,Hospital,Swasta,Swasta,Klang,Bandar Bukit Tinggi,-30099.521,-18119.764,3.01015814,101.43171628,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
35,Pantai Hospital Klang,Hospital,Swasta,Swasta,Klang,Klang,-30701.779,-16317.432,3.02645763,101.42629923,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
36,KPJ Klang Specialist Hospital,Hospital,Swasta,Swasta,Klang,Klang,-26614.284,-12355.844,3.06228208,101.4630712,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
37,Sri Kota Specialist Medical Centre,Hospital,Swasta,Swasta,Klang,Klang,-28563.318,-14770.435,3.04044696,101.44553672,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
38,Sentosa Specialist Hospital Klang,Hospital,Swasta,Swasta,Klang,Klang,-24402.749,-18609.32,3.00572766,101.4829611,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
39,Hospital Wanita Metro Klang,Hospital,Swasta,Swasta,Klang,Klang,-28648.038,-13792.736,3.04928876,101.44477506,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
40,KPJ Ampang Puteri Specialist Hospital,Hospital,Swasta,Swasta,Hulu Langat,Ampang,5457.839,-1527.906,3.16014277,101.75162266,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
41,KPJ Kajang Specialist Hospital,Hospital,Swasta,Swasta,Hulu Langat,Kajang,9269.615,-19246.587,2.99989635,101.78585691,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
42,Kajang Plaza Medical Centre,Hospital,Swasta,Swasta,Hulu Langat,Kajang,9541.123,-19703.634,2.99576227,101.78829773,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
43,Sungai Long Specialist Hospital,Hospital,Swasta,Swasta,Hulu Langat,Bandar Sungai Long,10294.223,-14843.769,3.03970858,101.79508845,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
44,Hospital Picaso,Hospital,Swasta,Swasta,Petaling,Petaling Jaya,-7669.436,-6736.677,3.11307274,101.63350901,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
45,KPJ Rawang Specialist Hospital,Hospital,Swasta,Swasta,Gombak,Rawang,-14066.134,16254.272,3.321,101.576,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
46,KPJ Kuala Selangor Specialist Hospital,Hospital,Swasta,Swasta,Kuala Selangor,Kuala Selangor,-49509.321,18840.923,3.34440091,101.25707331,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
47,MAHSA Specialist Hospital,Hospital,Swasta,Swasta,Kuala Langat,Bandar Saujana Putra,-13947.651,-24433.756,2.95304276,101.57700043,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
48,Klinik Kesihatan Shah Alam Seksyen 7,Klinik Kesihatan,Kerajaan,KKM,Petaling,Shah Alam,-23540.605,-11232.837,3.07243563,101.49072271,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
49,Klinik Kesihatan Shah Alam Seksyen 19,Klinik Kesihatan,Kerajaan,KKM,Petaling,Shah Alam,-18828.308,-13720.074,3.04993764,101.53311152,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
50,Klinik Kesihatan Kelana Jaya,Klinik Kesihatan,Kerajaan,KKM,Petaling,Kelana Jaya,-11321.657,-8283.246,3.09909369,101.60064961,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
51,Klinik Kesihatan Taman Medan,Klinik Kesihatan,Kerajaan,KKM,Petaling,Petaling Jaya,-7546.847,-10495.339,3.0790816,101.63460404,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
52,Klinik Kesihatan Puchong Batu 14,Klinik Kesihatan,Kerajaan,KKM,Petaling,Puchong,-9250.604,-19941.352,2.99366128,101.61925887,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
53,Klinik Kesihatan Sungai Buloh,Klinik Kesihatan,Kerajaan,KKM,Petaling,Sungai Buloh,-13928.193,5027.273,3.21947008,101.5772223,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
54,Klinik Kesihatan Kajang,Klinik Kesihatan,Kerajaan,KKM,Hulu Langat,Kajang,13671.818,-21588.867,2.97869952,101.8254481,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
55,Klinik Kesihatan Bandar Baru Bangi,Klinik Kesihatan,Kerajaan,KKM,Hulu Langat,Bandar Baru Bangi,7929.434,-26376.855,2.9354199,101.77377915,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
56,Klinik Kesihatan Beranang,Klinik Kesihatan,Kerajaan,KKM,Hulu Langat,Beranang,18773.764,-31618.399,2.8879819,101.8713024,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
57,Klinik Kesihatan Semenyih,Klinik Kesihatan,Kerajaan,KKM,Hulu Langat,Semenyih,15325.06,-24551.726,2.95189987,101.84030853,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
58,Klinik Kesihatan Ampang,Klinik Kesihatan,Kerajaan,KKM,Hulu Langat,Ampang,6540.524,-3174.203,3.14525147,101.761358,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
59,Klinik Kesihatan Pandamaran,Klinik Kesihatan,Kerajaan,KKM,Klang,Pandamaran,-32202.238,-17658.242,3.01433247,101.41280141,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
60,Klinik Kesihatan Pelabuhan Klang,Klinik Kesihatan,Kerajaan,KKM,Klang,Pelabuhan Klang,-33958.814,-19243.114,3.0,101.397,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
61,Klinik Kesihatan Kapar,Klinik Kesihatan,Kerajaan,KKM,Klang,Kapar,-36706.475,-3803.229,3.13962948,101.37228151,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
62,Klinik Kesihatan Meru,Klinik Kesihatan,Kerajaan,KKM,Klang,Meru,-29052.838,-4132.198,3.13665331,101.44113781,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
63,Klinik Kesihatan Bukit Kuda,Klinik Kesihatan,Kerajaan,KKM,Klang,Klang,-27148.74,-13641.391,3.05065665,101.45826254,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
64,Klinik Kesihatan Bandar Botanic,Klinik Kesihatan,Kerajaan,KKM,Klang,Bandar Botanic,-28464.701,-20399.309,2.98954254,101.44642119,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
66,Klinik Kesihatan Telok Datok,Klinik Kesihatan,Kerajaan,KKM,Kuala Langat,Banting,-20587.981,-39201.756,2.81949774,101.51725559,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
67,Klinik Kesihatan Jenjarom,Klinik Kesihatan,Kerajaan,KKM,Kuala Langat,Jenjarom,-22469.207,-32705.478,2.87824828,101.50034154,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
68,Klinik Kesihatan Sepang,Klinik Kesihatan,Kerajaan,KKM,Sepang,Sepang,5294.156,-53588.044,2.68934903,101.74999951,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
69,Klinik Kesihatan Dengkil,Klinik Kesihatan,Kerajaan,KKM,Sepang,Dengkil,-2293.656,-34739.376,2.85982273,101.68180431,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
70,Klinik Kesihatan Salak,Klinik Kesihatan,Kerajaan,KKM,Sepang,Salak,5203.561,-42515.799,2.78947898,101.74921471,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
71,Klinik Kesihatan Kuala Selangor,Klinik Kesihatan,Kerajaan,KKM,Kuala Selangor,Kuala Selangor,-50318.089,17998.029,3.33677731,101.24979678,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
72,Klinik Kesihatan Tanjung Karang,Klinik Kesihatan,Kerajaan,KKM,Kuala Selangor,Tanjung Karang,-58163.966,27821.593,3.42560233,101.17917808,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
73,Klinik Kesihatan Ijok,Klinik Kesihatan,Kerajaan,KKM,Kuala Selangor,Ijok,-33959.081,15920.579,3.318,101.397,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
74,Klinik Kesihatan Bestari Jaya,Klinik Kesihatan,Kerajaan,KKM,Kuala Selangor,Bestari Jaya,-31736.596,22887.039,3.381,101.417,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
75,Klinik Kesihatan Kuala Kubu Bharu,Klinik Kesihatan,Kerajaan,KKM,Hulu Selangor,Kuala Kubu Bharu,-4620.113,43554.006,3.56785889,101.66106689,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
76,Klinik Kesihatan Rawang,Klinik Kesihatan,Kerajaan,KKM,Gombak,Rawang,-14177.268,16254.251,3.321,101.575,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
77,Klinik Kesihatan Selayang Baru,Klinik Kesihatan,Kerajaan,KKM,Gombak,Selayang,-5506.847,8736.844,3.253,101.653,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
78,Klinik Kesihatan Kuang,Klinik Kesihatan,Kerajaan,KKM,Gombak,Kuang,-16398.805,9397.996,3.259,101.555,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
79,Klinik Kesihatan Sabak Bernam,Klinik Kesihatan,Kerajaan,KKM,Sabak Bernam,Sabak Bernam,-79856.971,65568.08,3.76688503,100.98380932,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
80,Klinik Kesihatan Sungai Besar,Klinik Kesihatan,Kerajaan,KKM,Sabak Bernam,Sungai Besar,-79298.718,55509.118,3.67592326,100.98887603,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
81,Klinik Kesihatan Sekinchan,Klinik Kesihatan,Kerajaan,KKM,Sabak Bernam,Sekinchan,-66667.072,37144.936,3.50989574,101.1026322,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
82,Klinik Kesihatan Ibu dan Anak Shah Alam,Klinik Ibu dan Anak,Kerajaan,KKM,Petaling,Shah Alam,-23543.738,-11262.713,3.07216546,101.4906945,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
83,Klinik Kesihatan Ibu dan Anak Klang,Klinik Ibu dan Anak,Kerajaan,KKM,Klang,Klang,-28448.262,-15097.202,3.03749181,101.44657158,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
84,Klinik Kesihatan Ibu dan Anak Kajang,Klinik Ibu dan Anak,Kerajaan,KKM,Hulu Langat,Kajang,10669.61,-20018.791,2.99290847,101.79844783,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
85,Klinik Kesihatan Ibu dan Anak Ampang,Klinik Ibu dan Anak,Kerajaan,KKM,Hulu Langat,Ampang,6547.276,-3139.811,3.14556246,101.76141886,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
86,Klinik Desa Sungai Sireh,Klinik Desa,Kerajaan,KKM,Kuala Selangor,Sungai Sireh,-58877.059,32822.691,3.47082733,101.17275065,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
87,Klinik Desa Sungai Burong,Klinik Desa,Kerajaan,KKM,Kuala Selangor,Sungai Burong,-62804.293,31953.883,3.46296169,101.13740938,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
88,Klinik Desa Sungai Panjang,Klinik Desa,Kerajaan,KKM,Sabak Bernam,Sungai Panjang,-72067.083,47110.499,3.6,101.054,GDM2000 / Selangor Grid (EPSG:3380),Senarai awam + anggaran lokasi,PERLU_SEMAKAN
